Directory,勘誤,勘誤備註說明,序號,縣市 County,縣市及鄉鎮市區 County and Area,村里 Village,預計收容村里 Service Area,避難收容處所地址 Address,避難收容處所名稱 Shelter Name,適用災害類別 Disaster Categories,適合避難弱者安置 Shelter for Vulnerable People,室內 Indoor,室外 Outdoor,預計收容人數 Capacity,緯度,經度,管理人姓名,管理人電話,經緯度
,沒有說明適用哪些災害類別,,10,連江縣,連江縣莒光鄉,大坪村,大坪村,57-1號,東莒老人活動中心,,否 No,否,否,0,25.956666,119.977206,曹以樹,0836-8914621,"25.956666,119.977206"
,沒有說明適用哪些災害類別,,11,連江縣,連江縣莒光鄉,福正村,福正村,1號,福正風景管理處,,否 No,否,否,0,25.961848,119.985351,曹鳳金,0836-89338,"25.961848,119.985351"
,沒有說明適用哪些災害類別,,12,連江縣,連江縣莒光鄉,西坵村,西坵村,莒光指揮部國軍文康中心,莒光指揮部國軍文康中心,,否 No,否,否,0,25.97828,119.932125,朱永元指揮官,0836-89217,"25.97828,119.932125"
,沒有說明適用哪些災害類別,,13,連江縣,連江縣莒光鄉,田沃村,田沃村,52號,田沃老人活動中心,,否 No,否,否,0,25.972438,119.944922,曹以樹,0836-89146,"25.972438,119.944922"
,沒有說明適用哪些災害類別,,14,連江縣,連江縣莒光鄉,青帆村,青帆村,1號,青帆老人活動中心,,否 No,否,否,150,25.969995,119.933712,曹以樹,0836-89416,"25.969995,119.933712"
,沒有說明適用哪些災害類別,,15,連江縣,連江縣莒光鄉,青帆村,青帆村,18號,敬恆國中小禮堂,,否 No,否,否,200,25.970819,119.933934,陳玉嬌,0836-88254,"25.970819,119.933934"
,沒有說明適用哪些災害類別,,16,連江縣,連江縣莒光鄉,大坪村,大坪村,4號,東莒國小綜合教室,,否 No,否,否,200,25.957484,119.97711,林湘官,0836-89043203,"25.957484,119.97711"
,[完成勘誤] 位置有誤,"建議為：25.002879569061637, 121.05237445229733",17,桃園市,桃園市新屋區,石牌里,石牌里,東興路二段568號,石牌社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26,121.051297,江紘,4778168,"26,121.051297"
,沒有說明適用哪些災害類別,,18,桃園市,桃園市觀音區,上大里,上大村、富源村、崙坪村,8鄰大湖路一段510號,上大社區活動中心,,否 No,否,否,0,24.978234,121.147333,魏秀有,919103049,"24.978234,121.147333"
,沒有說明適用哪些災害類別,,19,桃園市,桃園市觀音區,武威里,武威村、三和村、保生村,4鄰武威一路10號,武威社區活動中心,,否 No,否,否,0,25.028242,121.073317,廖介文,972196113,"25.028242,121.073317"
,沒有說明適用哪些災害類別,,20,桃園市,桃園市觀音區,塔腳里,塔腳村、廣福村、保障村,4鄰塔腳路116號,塔腳社區活動中心,,否 No,否,否,0,25.049298,121.154708,莊林乾,932948680,"25.049298,121.154708"
,沒有說明適用哪些災害類別,,21,桃園市,桃園市觀音區,廣福里,廣福村、新坡村、草漯村,福山路二段403巷6號,廣福社區活動中心,,否 No,否,否,0,25.019018,121.153383,陳秀鳳,4983945,"25.019018,121.153383"
,沒有說明適用哪些災害類別,,22,桃園市,桃園市觀音區,草新里,草漯村、樹林村、保障村,新生路1462號,草漯國民小學,,否 No,否,否,100,25.045941,121.142939,羅淑貞,4830160#51,"25.045941,121.142939"
,沒有說明適用哪些災害類別,,23,桃園市,桃園市觀音區,上大里,上大村、富源村、崙坪村,8鄰大湖路一段540號,上大國民小學,,否 No,否,否,100,24.979129,121.146755,張秀琪,4901174#510,"24.979129,121.146755"
,沒有說明適用哪些災害類別,,24,桃園市,桃園市觀音區,崙坪里,崙坪村、大同村、上大村,崙坪里297之1號,崙坪國民小學,,否 No,否,否,100,24.999596,121.162676,吳曉芬,4981286#51,"24.999596,121.162676"
,沒有說明適用哪些災害類別,,25,桃園市,桃園市觀音區,富林里,富林村、廣興村、草漯村,大觀路三段466號,富林國民小學,,否 No,否,否,100,25.062195,121.1285,王文昌,4839049#51,"25.062195,121.1285"
,沒有說明適用哪些災害類別,,26,桃園市,桃園市觀音區,樹林里,樹林村、草漯村、富林村,觀音鄉樹林村新村路二段十二號,樹林國民小學,,否 No,否,否,100,25.062176,121.128468,張麗君,4830414#51,"25.062176,121.128468"
,沒有說明適用哪些災害類別,,27,桃園市,桃園市觀音區,觀音里,觀音村、三和村、武威村,觀新路56號,觀音區公所綠資源中心,,否 No,否,否,0,25.028281,121.083597,許誌峰,925629102,"25.028281,121.083597"
,[完成勘誤] 位置有誤,"註：應行文國防部確認細節

* 沒有說明適用哪些災害類別
* 沒填寫村里
* 座標錯誤：目前提供的座標會定位到中國福建省寧德市附近，建議提供對國軍來說不敏感但相對有幫助的接應座標經緯度
* 名稱疑似錯誤或是經過去識別化？（不是「中華民國空軍第七戰術戰鬥機聯隊」？）",28,臺東縣,臺東縣臺東市,,臺東縣異地收容,營區位置恕不敘明,空軍第737戰術戰鬥機聯隊,,否 No,否,否,329,27,119.752122,王詳閩少校,089-223911-872103,"27,119.752122"
,,,29,高雄市,高雄市前鎮區,竹中里,全區綜合調度,廣西路57號,高雄市前鎮區光華國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,否,300,22.615,120.32,總務組,7222846,"22.615,120.32"
,,,30,臺東縣,臺東縣大武鄉,大武村,收容大鳥村1-6鄰，15-16鄰,民族街2巷49號,大武國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,350,22.365009,120.905497,陳佩瑜,089-791826,"22.365009,120.905497"
,,,31,苗栗縣,苗栗縣頭份市,尖下里,尖山里、尖下里、廣興里,尖豐路305號,尖山國小操場,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,否,室外 Outdoor,200,24.64686,120.894048,李鴻明,037-624474#29,"24.64686,120.894048"
,,,32,高雄市,高雄市小港區,鳳源里,鳳林、鳳源,鳳林路207號,高雄市小港區鳳林國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,300,22.527,120.343,陳宜亨,8712367＊710,"22.527,120.343"
,[完成勘誤] 位置有誤,"建議為：24.951155513165865, 121.01973300134",33,桃園市,桃園市新屋區,後庄里,後庄里,東福路二段515號,後庄社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.870923,121.011554,江紘,4778168,"26.870923,121.011554"
,[完成勘誤] 位置有誤,"建議為：24.94922148304669, 121.05764290761147",34,桃園市,桃園市新屋區,望間里,望間里,4鄰十五間25號,望間社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.87753,121.065984,江紘,4778168,"26.87753,121.065984"
,[完成勘誤] 位置有誤,"新址應為：桃園市新屋區社子里社福路235號
建議為：24.956933006498343, 121.08168725513676",35,桃園市,桃園市新屋區,社子里,社子里,7鄰3之1號,社子社區活動中心,水災-Flooding,是 Shelter for Vulnerable People,室內 Indoor,否,50,26.886062,121.085281,江紘,4778168,"26.886062,121.085281"
,[完成勘誤] 位置有誤,"原址（校前路48號）現為「頭洲國小附設幼兒園」
避難所標示仍在",36,桃園市,桃園市新屋區,頭洲里,頭洲里,校前路48號,頭洲社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.888575,121.130215,江紘,4778168,"26.888575,121.130215"
,[完成勘誤] 位置有誤,"（不確定是否還有營運）建議為：24.95600279239675, 121.01172271507617",37,桃園市,桃園市新屋區,深圳里,深圳里,4鄰20之5號,深圳社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.890879,121.007673,江紘,4778168,"26.890879,121.007673"
,[完成勘誤] 位置有誤,"新址應為：桃園市新屋區東明里上庄一路120號
建議為：24.971715169329297, 121.0879791445117",38,桃園市,桃園市新屋區,東明里,東明里,3鄰5號,東明社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.894742,121.078766,江紘,4778168,"26.894742,121.078766"
,[完成勘誤] 位置有誤,"建議為：24.96014062209152, 121.11786816017504",39,桃園市,桃園市新屋區,九斗里,九斗里,長祥路1098號,九斗社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.896771,121.117328,江紘,4778168,"26.896771,121.117328"
,[完成勘誤] 位置有誤,"且難字無法顯示-地名
新址應為：桃園市新屋區槺榔里保安路439號
建議為：24.971410457226632, 121.05067275824781",40,桃園市,桃園市新屋區,?榔里,?榔里,8鄰9號,?榔社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.898658,121.06181,江紘,4778168,"26.898658,121.06181"
,[完成勘誤] 位置有誤,"建議為：24.98322782584507, 121.05954621320184",41,桃園市,桃園市新屋區,下田里,下田里,4鄰中山西路2段780號,下田社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.908939,121.054326,江紘,4778168,"26.908939,121.054326"
,[完成勘誤] 位置有誤,"建議為：24.988277367413904, 121.02790241926449",42,桃園市,桃園市新屋區,永安里,永安里,13鄰保生路55號,永安社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.915734,121.02689,江紘,4778168,"26.915734,121.02689"
,[完成勘誤] 位置有誤,"建議為：24.993171025195853, 121.0793962277896",43,桃園市,桃園市新屋區,石磊里,石磊里,三民路二段276號,石磊社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.921813,121.079829,江紘,4778168,"26.921813,121.079829"
,[完成勘誤] 位置有誤,"建議為：25.004282768832528, 121.03010878037196",44,桃園市,桃園市新屋區,永興里,永興里,永慶一路273號,永興社區活動中心,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,否,50,26.92647,121.031521,江紘,4778168,"26.92647,121.031521"
,,,45,屏東縣,屏東縣霧臺鄉,大武村,大武村,2鄰小山巷7號,大武社區活動中心,"水災-Flooding,土石流-Landslide",是 Shelter for Vulnerable People,室內 Indoor,否,30,22.757534,120.754782,歐光夫,932451102,"22.757534,120.754782"
,,,46,花蓮縣,花蓮縣秀林鄉,和平村,和中部落,和平112號,和平國小,"水災-Flooding,土石流-Landslide",否 No,室內 Indoor,否,250,24.308073,121.748879,蔡金郎,03-868113,"24.308073,121.748879"
,,,47,屏東縣,屏東縣瑪家鄉,佳義村,佳義村,泰平巷11號,佳義社區活動中心,"水災-Flooding,土石流-Landslide",是 Shelter for Vulnerable People,室內 Indoor,否,0,22.653475,120.630874,葉明仁,08-7990209,"22.653475,120.630874"
,,,48,彰化縣,彰化縣員林市,中東里,崙雅里 振興里 林厝里 出水里 湖水里 大峰里 鎮興里 浮圳里 西東里 南東里 中東里 東北里 共12里,山腳路五段185巷20號,中東社區活動中心,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",否 No,否,否,30,23.971414,120.599689,黃勝裕,8347171,"23.971414,120.599689"
,,,49,彰化縣,彰化縣員林市,三和里,中正里 和平里 忠孝里 仁愛里 三橋里 三愛里 三信里 三多里 共8里,育英路103號,崇實高工體育館,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,80,23.961057,120.574848,張文福,8347171,"23.961057,120.574848"
,難字無法顯示-地名,,50,彰化縣,彰化縣彰化市,東芳里,東芳里南安里刺桐里磚?里,彰馬路45號,東芳國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,145,24.062538,120.516345,楊娣雅,72221411710,"24.062538,120.516345"
,難字無法顯示-聯絡人員姓名,,51,彰化縣,彰化縣員林市,三義里,三義里 新生里 南平里 南興里 源潭里 大埔里 共6里,員鹿路245巷112號,三義社區活動中心,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",否 No,否,否,200,23.95268,120.563531,?淑娟,8347171,"23.95268,120.563531"
,,,52,彰化縣,彰化縣員林市,三和里,中正里 和平里 忠孝里 仁愛里 三橋里 三愛里 三信里 三多里 共8里,大同路一段345號,大同國中,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,200,23.963213,120.579502,張文福,8347171,"23.963213,120.579502"
,,,53,彰化縣,彰化縣員林市,萬年里,崙雅里 振興里 林厝里 出水里 湖水里 大峰里 鎮興里 浮圳里 西東里 南東里 中東里 東北里 共12里,員水路二段313號,員林農工體育館,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,200,23.955187,120.581692,陳宗虎,8347171,"23.955187,120.581692"
,,,54,彰化縣,彰化縣員林市,南東里,崙雅里 振興里 林厝里 出水里 湖水里 大峰里 鎮興里 浮圳里 西東里 南東里 中東里 東北里 共12里,員東路二段12號,員林市員東國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,200,23.961879,120.587309,盧佳玉,8347171,"23.961879,120.587309"
,,,55,彰化縣,彰化縣員林市,南興里,三義里 新生里 南平里 南興里 源潭里 大埔里 共6里,南潭路2號,員林市員林國中活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,200,23.979184,120.557085,盧佳玉,8347171,"23.979184,120.557085"
,,,56,彰化縣,彰化縣員林市,中正里,中正里 和平里 忠孝里 仁愛里 三橋里 三愛里 三信里 三多里 共8里,三民東街221號,員林市員林國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,300,23.960059,120.57921,陳淑莉,8347171,"23.960059,120.57921"
,,,57,臺中市,臺中市南區,平和里,南和.永興.積善,忠明南路與五權南路交叉口,健康公園,地震-Earthquake,是 Shelter for Vulnerable People,否,室外 Outdoor,7500,24.119757,120.667553,劉萬貴,04-22289111-33920,"24.119757,120.667553"
,,,58,屏東縣,屏東縣屏東市,北勢里,北勢里,信義路262號,屏東市信義國小,"水災-Flooding,地震-Earthquake",是 Shelter for Vulnerable People,室內 Indoor,室外 Outdoor,965,22.68523,120.49197,朱健華,08-7383628#14,"22.68523,120.49197"
,,,59,臺中市,臺中市太平區,黃竹里,黃竹里,光興路1001號,光隆營區,"水災-Flooding,土石流-Landslide",否 No,室內 Indoor,室外 Outdoor,80,24.1112,120.7305,許仲明少校,546365軍,"24.1112,120.7305"
,,,60,彰化縣,彰化縣彰化市,福田里,福田里、台鳳里、竹巷里、快官里,彰南路五段8號,大快官藝文館,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,45,24.068651,120.613159,楊娣雅,04-72221411710,"24.068651,120.613159"
,,,61,彰化縣,彰化縣彰化市,香山里,香山里,彰南路二段512巷97號,彰德國中勤學樓、育英樓穿堂,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,45,24.08054,120.589342,楊娣雅,4.72E+11,"24.08054,120.589342"
,,,62,彰化縣,彰化縣彰化市,介壽里,介壽里,介壽新村21號,介壽社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,45,24.070873,120.551727,楊娣雅,04-72221411710,"24.070873,120.551727"
,,,63,彰化縣,彰化縣彰化市,國聖里,國聖里文化里龍山里中山里中正里中庄里三村里古夷里,中山路三段608號,國聖國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,54,24.092292,120.568089,楊娣雅,04-72221411710,"24.092292,120.568089"
,,,64,彰化縣,彰化縣彰化市,石牌里,石牌里,田坑路一段9號,石牌國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,63,24.058558,120.614942,楊娣雅,04-72221411710,"24.058558,120.614942"
,難字無法顯示-地名,,65,彰化縣,彰化縣彰化市,茄苳里,茄苳里、寶?里、茄南里,茄苳路二段292號,茄苳社區活動中心,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",否 No,否,否,64,24.10378,120.547944,楊娣雅,04-72221411710,"24.10378,120.547944"
,,,66,彰化縣,彰化縣彰化市,田中里,田中里,田中路125號,三民國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,77,24.085743,120.604547,楊娣雅,04-72221411710,"24.085743,120.604547"
,,,67,彰化縣,彰化縣彰化市,崙平里,崙平里,平和七街66號,南北管戲曲音樂館,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,77,24.068206,120.529851,施政興,04-7639509,"24.068206,120.529851"
,,,68,彰化縣,彰化縣彰化市,牛埔里,牛埔里,彰南路三段226號,牛埔社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,78,24.081368,120.597531,楊娣雅,4.72E+11,"24.081368,120.597531"
,,,69,彰化縣,彰化縣彰化市,桃源里,桃源里卦山里東興里華陽里復興里,公園路二段102之1號,桃源社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,90,24.072547,120.559047,楊娣雅,04-72221411710,"24.072547,120.559047"
,,,70,彰化縣,彰化縣彰化市,南興里,南興里,中山路一段189巷49號,南興社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,93,24.056604,120.533189,楊娣雅,04-72221411718,"24.056604,120.533189"
,,,71,彰化縣,彰化縣彰化市,快官里,台鳳里、竹巷里、快官里,彰南路四段566號之1,快官社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,115,24.068422,120.612013,楊娣雅,04-72221411710,"24.068422,120.612013"
,,,72,彰化縣,彰化縣彰化市,福山里,福山里安溪里,福山街168號,福山社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,177,24.082668,120.571394,楊娣雅,04-72221411710,"24.082668,120.571394"
,,,73,彰化縣,彰化縣彰化市,延和里,延和里延平里建寶里,埔西街111號,延和社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,184,24.059306,120.538252,楊娣雅,04-72221411710,"24.059306,120.538252"
,難字無法顯示-地名,,74,彰化縣,彰化縣彰化市,阿夷里,阿夷里、下?里、興北里、信義里、民生里、陽明里、萬安里、新興里、新華里、光復里、和調里,泰和路二段145巷1號,泰和國小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,203,24.092496,120.55168,楊娣雅,04-72221411710,"24.092496,120.55168"
,,,75,彰化縣,彰化縣彰化市,延和里,延和里延平里建寶里,埔西街107號,彰興國中,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,242,24.059274,120.538251,楊娣雅,04-72221411710,"24.059274,120.538251"
,,,76,彰化縣,彰化縣彰化市,向陽里,向陽里南美里平和里,向陽街168號,信義國中小,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,否,否,399,24.062723,120.52814,楊娣雅,04-7221411710,"24.062723,120.52814"
,,,77,彰化縣,彰化縣和美鎮,雅溝里,雅溝,南軒路359巷7號,雅溝社區活動中心,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",否 No,否,否,150,24.099707,120.492521,張敬堂,7552354,"24.099707,120.492521"
,位置有誤,且沒有說明適用哪些災害類別,78,臺東縣,臺東縣金峰鄉,正興村,正興村,"5鄰105號No.105,Zhengxing,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",介達國小 Jieda Elementary School,,否 No,室內 Indoor,否,100,21.201237,120.237198,田桂香,089-781583,"21.201237,120.237198"
,位置有誤,,79,新竹縣,新竹縣湖口鄉,信勢村,信勢村、德盛村、波羅村,成功路360號,湖口鄉信勢國小禮堂,"地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,385,21.9002,121.0376,林志華,03-5993911,"21.9002,121.0376"
,,,80,屏東縣,屏東縣滿州鄉,港口村,港口村,港口路42號,港口社區活動中心,"水災-Flooding,土石流-Landslide",是 Shelter for Vulnerable People,室內 Indoor,否,50,21.9912,120.8271,楊秀蘭,08-8801356,"21.9912,120.8271"
,,,81,屏東縣,屏東縣恆春鎮,城南里,城南里,文化路79號,恆春國中收容所,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,1400,22.0031,120.7475,郭君毓,08-8892039,"22.0031,120.7475"
,,,82,屏東縣,屏東縣恆春鎮,城南里,城南里,天文路1號,恆春鎮公所,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,220,22.0038,120.7474,洪合益,08-8896883,"22.0038,120.7474"
,,,83,屏東縣,屏東縣滿州鄉,永靖村,永靖村,庄內路33巷8-1號,永靖社區活動中心,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,30,22.0052,120.8092,潘一福,08-8802248,"22.0052,120.8092"
,,,84,屏東縣,屏東縣滿州鄉,永靖村,永靖村,新庄路25號,永港國民小學,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,室外 Outdoor,100,22.005679,120.817377,王嚲駿,08-8801125#14,"22.005679,120.817377"
,難字無法顯示-地名,,85,屏東縣,屏東縣恆春鎮,城北里,城北里,北門路39巷26號,�甯K國小收容所,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,200,22.0064,120.7466,蔡迪偉,08-8892035,"22.0064,120.7466"
,,,86,屏東縣,屏東縣恆春鎮,城西里,城西里,西門路146號,僑勇國小收容所,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,430,22.0087,120.7442,周淑琴,08-8893034,"22.0087,120.7442"
,,,87,屏東縣,屏東縣滿州鄉,滿州村,滿州村,中山路39號,滿州國民小學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,室外 Outdoor,100,22.020382,120.838101,徐培祥,08-8801162#14,"22.020382,120.838101"
,,,88,屏東縣,屏東縣滿州鄉,滿州村,滿州村、里德村,中山路43號,屏東縣滿州鄉公所,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,30,22.0209,120.8386,羅美娟,08-8801105#703,"22.0209,120.8386"
,位置有誤,,89,臺東縣,臺東縣蘭嶼鄉,紅頭村,紅頭村,臺東縣蘭嶼鄉紅頭村1-1號,舊蘭嶼國小,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,100,22.0211,121.5546,周孋珠,（089）731633,"22.0211,121.5546"
,,,90,屏東縣,屏東縣滿州鄉,滿州村,滿州村,中山路107號,滿州社區活動中心,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,30,22.0233,120.8371,潘啟元,08-8801375,"22.0233,120.8371"
,,,91,屏東縣,屏東縣滿州鄉,滿州村,滿州村、永靖村,中山路152號,屏東縣滿州鄉圖書館,"水災-Flooding,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,100,22.0243,120.8377,王淑娟,08-8801105#302,"22.0243,120.8377"
,,,92,屏東縣,屏東縣滿州鄉,滿州村,滿州村 里德村,文化路32號,滿州國民中學,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,室外 Outdoor,100,22.024499,120.839695,簡亞藍,08-8801106#14,"22.024499,120.839695"
,,,93,臺東縣,臺東縣蘭嶼鄉,紅頭村,紅頭村漁人部落,臺東縣蘭嶼鄉紅頭村漁人147號,蘭恩活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide",否 No,室內 Indoor,否,500,22.026,121.539,希瑪拉歐斯執行長,（089）732073,"22.026,121.539"
